,Solution,Sector(s),Scenario 1 *,Scenario 2 *
0,Smart Thermostats,Electricity / Buildings,6.99,7.4
1,Building Automation Systems,Electricity / Buildings,6.47,10.48
2,LED Lighting,Electricity,16.07,17.53
3,Insulation,Electricity / Buildings,16.97,19.01
4,Dynamic Glass,Electricity / Buildings,0.29,0.47
5,High-Performance Glass,Electricity / Buildings,10.04,12.63
6,Green and Cool Roofs,Electricity / Buildings,0.6,1.1
7,District Heating,Electricity / Buildings,6.28,9.85
8,High-Efficiency Heat Pumps,Electricity / Buildings,4.16,9.29
9,Solar Hot Water,Electricity / Buildings,3.59,14.29
10,Low-Flow Fixtures,Electricity / Buildings,0.91,1.56
11,Water Distribution Efficiency,Electricity,0.66,0.94
12,Building Retrofitting,Electricity / Buildings,,
13,Net-Zero Buildings,Electricity / Buildings,,
14,Concentrated Solar Power,Electricity,18.6,23.96
15,Distributed Solar Photovoltaics,Electricity,27.98,68.64
16,Utility-Scale Solar Photovoltaics,Electricity,42.32,119.13
17,Micro Wind Turbines,Electricity,0.09,0.13
18,Onshore Wind Turbines,Electricity,47.21,147.72
19,Offshore Wind Turbines,Electricity,10.44,11.42
20,Geothermal Power,Electricity,6.19,9.85
21,Small Hydropower,Electricity,1.69,3.28
22,Ocean Power,Electricity,1.38,1.38
23,Biomass Power,Electricity,2.52,3.57
24,Nuclear Power,Electricity,2.65,3.23
25,Waste-to-Energy,Electricity / Industry,2.04,3.0
26,Landfill Methane Capture,Electricity / Industry,2.18,-1.6
27,Methane Digesters,Electricity / Industry,9.83,6.18
28,Grid Flexibility,Electricity,,
29,Microgrids,Electricity,,
30,Distributed Energy Storage,Electricity,,
31,Utility-Scale Energy Storage,Electricity,,
32,Plant-Rich Diets,"Food, Agriculture, and Land Use / Land Sinks",65.01,91.72
33,Reduced Food Waste,"Food, Agriculture, and Land Use / Land Sinks",87.45,94.56
34,Forest Protection,"Food, Agriculture, and Land Use / Land Sinks",5.52,8.75
35,Indigenous Peoples’ Forest Tenure,"Food, Agriculture, and Land Use / Land Sinks",8.69,12.93
36,Grassland Protection,"Food, Agriculture, and Land Use / Land Sinks",3.35,4.25
37,Peatland Protection and Rewetting,"Food, Agriculture, and Land Use / Land Sinks",26.03,41.93
38,Coastal Wetland Protection,"Food, Agriculture, and Land Use / Coastal and Ocean Sinks",0.99,1.45
39,Sustainable Intensification for Smallholders,"Food, Agriculture, and Land Use / Land Sinks",1.36,0.68
40,Conservation Agriculture,"Food, Agriculture, and Land Use / Land Sinks",13.4,9.43
41,Regenerative Annual Cropping,"Food, Agriculture, and Land Use / Land Sinks",14.52,22.27
42,Nutrient Management,"Food, Agriculture, and Land Use",2.34,12.06
43,Farm Irrigation Efficiency,"Food, Agriculture, and Land Use",1.13,2.07
44,Improved Rice Production,"Food, Agriculture, and Land Use / Land Sinks",9.44,13.82
45,System of Rice Intensification,"Food, Agriculture, and Land Use / Land Sinks",2.78,4.26
46,Alternative Cement,Industry,7.98,16.1
47,Bioplastics,Industry,0.96,3.8
48,Composting,Industry,2.14,3.13
49,Recycling,Industry,5.5,6.02
50,Recycled Paper,Industry,1.1,1.95
51,Refrigerant Management,Industry / Buildings,57.75,57.75
52,Alternative Refrigerants,Industry / Buildings,43.53,50.53
53,Walkable Cities,Transportation,1.44,5.45
54,Bicycle Infrastructure,Transportation,2.56,6.65
55,Electric Bicycles,Transportation,1.31,4.07
56,Carpooling,Transportation,7.7,4.17
57,Public Transit,Transportation,7.51,23.36
58,High-Speed Rail,Transportation,1.3,3.77
59,Telepresence,Transportation,1.05,3.8
60,Hybrid Cars,Transportation,7.89,4.63
61,Efficient Trucks,Transportation,4.61,9.71
62,Electric Trains,Transportation,0.1,0.65
63,Electric Cars,Transportation,11.87,15.68
64,Efficient Ocean Shipping,Transportation,4.4,6.3
65,Efficient Aviation,Transportation,6.27,9.18
66,Biogas for Cooking,Buildings,4.65,9.7
67,Improved Clean Cookstoves,Buildings,31.34,72.65
68,Temperate Forest Restoration,Land Sinks,19.42,27.85
69,Tropical Forest Restoration,Land Sinks,54.45,85.14
70,Managed Grazing,Land Sinks,16.42,26.01
71,Silvopasture,Land Sinks,26.58,42.31
72,Multistrata Agroforestry,Land Sinks,11.3,20.4
73,Tree Intercropping,Land Sinks,15.03,24.4
74,Perennial Staple Crops,Land Sinks,15.45,31.26
75,Perennial Biomass Production,Land Sinks,4.0,7.04
76,Abandoned Farmland Restoration,Land Sinks,12.48,20.32
77,Tree Plantations (on Degraded Land),Land Sinks,22.24,35.94
78,Bamboo Production,Land Sinks,8.27,21.31
79,Coastal Wetland Restoration,Coastal and Ocean Sinks,0.77,1.01
80,Biochar Production,Engineered Sinks,2.22,4.39
81,Health and Education,Health and Education,85.42,85.42
82,,,997.17,1576.47
